IHME,2020-05-31,1 wk ahead cum death,2020-06-07,288,251,340
IHME,2020-05-31,2 wk ahead cum death,2020-06-14,372,292,514
IHME,2020-05-31,3 wk ahead cum death,2020-06-21,450,330,678
IHME,2020-05-31,4 wk ahead cum death,2020-06-28,520,363,818
IHME,2020-05-31,5 wk ahead cum death,2020-07-05,582,393,947
IHME,2020-05-31,6 wk ahead cum death,2020-07-12,638,419,1054
IHME,2020-06-14,1 wk ahead cum death,2020-06-21,320,318,323
IHME,2020-06-14,2 wk ahead cum death,2020-06-28,352,343,362
IHME,2020-06-14,3 wk ahead cum death,2020-07-05,385,366,406
IHME,2020-06-14,4 wk ahead cum death,2020-07-12,419,388,455
IHME,2020-06-14,5 wk ahead cum death,2020-07-19,455,409,510
IHME,2020-06-14,6 wk ahead cum death,2020-07-26,496,431,579
IHME,2020-06-28,1 wk ahead cum death,2020-07-05,381,367,398
IHME,2020-06-28,2 wk ahead cum death,2020-07-12,409,387,441
IHME,2020-06-28,3 wk ahead cum death,2020-07-19,436,403,484
IHME,2020-06-28,4 wk ahead cum death,2020-07-26,464,419,530
IHME,2020-06-28,5 wk ahead cum death,2020-08-02,494,434,586
IHME,2020-06-28,6 wk ahead cum death,2020-08-09,528,450,650
IHME,2020-07-05,1 wk ahead cum death,2020-07-12,391,387,396
IHME,2020-07-05,2 wk ahead cum death,2020-07-19,415,405,428
IHME,2020-07-05,3 wk ahead cum death,2020-07-26,440,421,463
IHME,2020-07-05,4 wk ahead cum death,2020-08-02,464,437,499
IHME,2020-07-05,5 wk ahead cum death,2020-08-09,488,451,539
IHME,2020-07-05,6 wk ahead cum death,2020-08-16,515,466,584
IHME,2020-07-12,1 wk ahead cum death,2020-07-19,409,417,404
IHME,2020-07-12,2 wk ahead cum death,2020-07-26,431,449,420
IHME,2020-07-12,3 wk ahead cum death,2020-08-02,454,486,436
IHME,2020-07-12,4 wk ahead cum death,2020-08-09,477,527,450
IHME,2020-07-12,5 wk ahead cum death,2020-08-16,502,570,465
IHME,2020-07-12,6 wk ahead cum death,2020-08-23,527,618,479
IHME,2020-07-19,1 wk ahead cum death,2020-07-26,426,431,413
IHME,2020-07-19,2 wk ahead cum death,2020-08-02,444,455,413
IHME,2020-07-19,3 wk ahead cum death,2020-08-09,462,480,413
IHME,2020-07-19,4 wk ahead cum death,2020-08-16,480,506,413
IHME,2020-07-19,5 wk ahead cum death,2020-08-23,497,533,413
IHME,2020-07-19,6 wk ahead cum death,2020-08-30,514,561,413
